City_ID,City,Country,Max Temp,Lat,Lng,Weather Description,Hotel Name
283,Alofi,NU,80.49,-19.0595,-169.9187,clear sky,Taloa Heights
287,Ugoofaaru,MV,81.37,5.6667,73.0,scattered clouds,Ungoofaaru Inn
288,Marawi,PH,78.73,7.9986,124.2928,overcast clouds,Derogongan Residence
290,Imbituba,BR,68.34,-28.24,-48.6703,scattered clouds,Praia Hotel Imbituba
293,Rudraprayag,IN,73.99,30.2833,78.9833,clear sky,OYO 66654 Hotel Devlok
295,Bambous Virieux,MU,82.22,-20.3428,57.7575,smoke,Casa Tia Villa
296,Pemba,MZ,79.5,-12.974,40.5178,scattered clouds,Guesthouse Samotina
297,Cockburn Town,TC,81.25,21.4612,-71.1419,few clouds,Osprey Beach Hotel
299,Buchanan,LR,75.96,5.8808,-10.0467,light rain,Kamaneahn Hotel Inc
300,Vila Velha,BR,71.94,-20.3297,-40.2925,broken clouds,Hotel Vitória Palace
303,Panguna,PG,79.63,-6.3164,155.4848,light rain,
304,Aripuana,BR,71.67,-9.1667,-60.6333,overcast clouds,
307,Sao Joao Da Barra,BR,73.24,-21.6403,-41.0511,overcast clouds,Pousada Porto De Canoas
308,Kihei,US,77.02,20.785,-156.4656,few clouds,Maui Sunset
311,Devonport,AU,68.09,-41.1667,146.35,scattered clouds,Gateway Hotel by Nightcap Plus
312,Maceio,BR,72.84,-9.6658,-35.7353,scattered clouds,Hotel Ponta Verde Maceió
314,Upata,VE,73.18,8.0086,-62.3989,few clouds,Posada Villa Nela
315,Sawakin,SD,82.04,19.1059,37.3321,few clouds,فندق الدويم
322,Quatre Cocos,MU,82.09,-20.2078,57.7625,few clouds,Sunrise Attitude Hotel
328,Beitbridge,ZW,77.34,-22.2167,30.0,scattered clouds,Beitbridge Express Hotel
330,Flinders,AU,79.05,-34.5833,150.8552,clear sky,Shellharbour Resort & Conference Centre
331,Pombal,BR,77.95,-6.7703,-37.8017,clear sky,Pousada Shalom
333,Brits,ZA,66.18,-25.6347,27.7802,broken clouds,By Die Vlei
337,Tagusao,PH,85.5,9.1924,117.8141,overcast clouds,Caycay future beach resort
340,Torres,BR,69.82,-29.3353,-49.7269,scattered clouds,Farol Hotel
342,Fatehpur,IN,73.15,25.9333,80.8,scattered clouds,Hotel Bombay Lodge
345,Matara,LK,85.3,5.9485,80.5353,scattered clouds,Amaloh Boutique Resort
347,Ponta Do Sol,PT,67.71,32.6667,-17.1,scattered clouds,Hotel do Campo
348,Pujehun,SL,73.53,7.3581,-11.7208,scattered clouds,Fanny Guesthouse
349,Faanui,PF,80.85,-16.4833,-151.75,few clouds,Bora-Bora Pearl Beach Resort & Spa
350,Alta Floresta,BR,70.84,-9.8756,-56.0861,overcast clouds,Floresta Amazonica Hotel
352,Sao Filipe,CV,78.73,14.8961,-24.4956,broken clouds,Hotel Xaguate
353,Jiaojiang,CN,68.0,28.6803,121.4428,scattered clouds,Fangyuan Hotel
356,Gboko,NG,70.81,7.3179,8.9951,clear sky,Mavillah Apartment and Suites
359,Comodoro Rivadavia,AR,66.06,-45.8667,-67.5,clear sky,Austral Hotel
362,Mogadishu,SO,80.47,2.0371,45.3438,scattered clouds,Hotel Juba
366,Nouadhibou,MR,66.18,20.931,-17.0347,clear sky,El Medina
369,Tabou,CI,77.5,4.423,-7.3528,light rain,hotêl doufoulougou
372,Chokwe,MZ,76.03,-24.5333,32.9833,scattered clouds,Complexo Sonho Real
374,Bubaque,GW,82.56,11.2833,-15.8333,broken clouds,"Casa Dora, Bubaque"
376,Buala,SB,84.7,-8.145,159.5921,overcast clouds,Maringe Lagoon Lodge
378,Lahij,YE,74.14,13.1667,44.5833,clear sky,
379,Saint-Pierre,RE,80.28,-21.3393,55.4781,clear sky,Alize Plage
381,Ulladulla,AU,68.38,-35.35,150.4667,broken clouds,Sandpiper Motel
382,Vila Do Maio,CV,75.99,15.1333,-23.2167,few clouds,Hotel Marilu
384,Thinadhoo,MV,81.07,0.5333,72.9333,scattered clouds,
386,Omboue,GA,75.81,-1.5746,9.2618,overcast clouds,Hotel Olako
387,San Juan,AR,73.18,-31.5375,-68.5364,clear sky,Hotel Provincial
390,Fayaoue,NC,80.26,-20.65,166.5333,broken clouds,Chez Dydyce Guesthouse
391,Port Blair,IN,84.24,11.6667,92.75,heavy intensity rain,"Welcomhotel By ITC Hotels, Port Blair - Premium Hotel Near the Airport | Idyllic Island Experience Vacation"
