City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
191,Esperance,AU,-33.8667,121.9,79.68,39,66,7.94,broken clouds
192,Basco,PH,20.4487,121.9702,82.18,76,99,12.24,overcast clouds
193,Luderitz,NA,-26.6481,15.1594,61.32,77,0,5.17,clear sky
194,Aparecida Do Taboado,BR,-20.0867,-51.0936,72.18,87,87,1.07,overcast clouds
195,Deming,US,32.2687,-107.7586,39.09,60,0,5.75,clear sky
196,Tautira,PF,-17.7333,-149.15,76.01,87,100,12.41,light rain
197,Novyy Urengoy,RU,66.0833,76.6333,-16.94,97,90,5.64,overcast clouds
198,Srednekolymsk,RU,67.45,153.6833,-37.7,100,74,5.14,broken clouds
199,Acurenam,GQ,1.0322,10.6488,65.57,98,70,0.56,broken clouds
200,Korla,CN,41.7597,86.1469,41.4,22,39,7.47,scattered clouds
201,Clyde River,CA,70.4692,-68.5914,3.43,78,100,21.85,overcast clouds
202,Avera,US,33.194,-82.5271,53.11,61,100,5.77,overcast clouds
203,Naze,JP,28.3667,129.4833,70.72,91,100,12.24,overcast clouds
204,Redmond,US,47.674,-122.1215,50.11,92,99,3.0,overcast clouds
205,Vilyuysk,RU,63.7553,121.6247,-6.83,95,100,1.54,overcast clouds
206,Truro,GB,50.2653,-5.0544,54.68,76,40,23.02,scattered clouds
207,Cabra,ES,37.4725,-4.4421,56.12,97,98,5.66,overcast clouds
208,Moorhead,US,46.8739,-96.7676,26.56,86,0,11.5,clear sky
209,Souillac,MU,-20.5167,57.5167,80.98,61,20,3.44,smoke
210,Rio Gallegos,AR,-51.6226,-69.2181,53.65,47,0,10.36,clear sky
211,Nago,JP,26.5881,127.9761,73.83,92,100,6.96,light rain
212,Simonesti,RO,46.3333,25.1,34.38,73,100,4.32,overcast clouds
213,Hithadhoo,MV,-0.6,73.0833,80.37,77,58,10.47,broken clouds
214,Talnakh,RU,69.4865,88.3972,-23.8,99,100,0.78,overcast clouds
215,Khorixas,NA,-20.3667,14.9667,69.37,39,28,5.53,scattered clouds
216,Saint-Joseph,RE,-21.3667,55.6167,79.18,68,39,8.81,scattered clouds
